SO2,NO2,O3,CO,PM10,PM2.5,total_bad
0.004,0.013000000000000001,0.019,0.2,8.0,3.0,0
0.005,0.045,0.026000000000000002,0.6,103.0,41.0,0
0.003,0.038,0.006,0.4,28.0,15.0,0
0.003,0.017,0.011000000000000001,0.3,11.0,3.0,0
0.006999999999999999,0.055999999999999994,0.003,1.1,110.0,85.0,0
0.002,0.011000000000000001,0.034,0.2,12.0,2.0,0
0.005,0.019,0.019,0.4,11.0,4.0,0
0.006999999999999999,0.021,0.035,0.3,88.0,24.0,0
0.006,0.009000000000000001,0.044000000000000004,0.3,32.0,17.0,0
0.019,0.02,0.09300000000000001,0.2,57.0,51.0,0
0.006,0.040999999999999995,0.012,0.4,52.0,29.0,0
0.003,0.012,0.027000000000000003,0.3,16.0,8.0,0
0.005,0.013999999999999999,0.031,0.3,44.0,15.0,0
0.005,0.04,0.013000000000000001,0.4,50.0,27.0,0
0.009000000000000001,0.036000000000000004,0.03,0.4,44.0,35.0,0
0.003,0.011000000000000001,0.027000000000000003,0.3,24.0,7.0,0
0.003,0.07200000000000001,0.003,0.4,66.0,46.0,0
0.004,0.013000000000000001,0.049,0.3,53.0,11.0,0
0.006,0.015,0.07,0.5,63.0,31.0,0
0.011000000000000001,0.07400000000000001,0.005,1.7,124.0,97.0,0
0.004,0.038,0.004,0.5,26.0,17.0,0
0.002,0.035,0.005,0.3,9.0,9.0,0
0.004,0.025,0.038,0.5,21.0,16.0,0
0.006999999999999999,0.027999999999999997,0.02,0.6,38.0,24.0,0
0.006,0.006999999999999999,0.017,0.2,16.0,9.0,0
0.003,0.026000000000000002,0.031,0.5,29.0,21.0,0
0.005,0.027000000000000003,0.066,0.5,48.0,44.0,0
0.003,0.034,0.01,0.4,53.0,16.0,0
0.004,0.019,0.009000000000000001,0.5,29.0,18.0,0
0.002,0.012,0.03,0.3,13.0,5.0,0
0.002,0.015,0.023,0.2,19.0,8.0,0
0.003,0.054000000000000006,0.009000000000000001,0.5,52.0,29.0,0
0.003,0.027999999999999997,0.034,0.5,26.0,12.0,0
0.004,0.013000000000000001,0.02,0.2,22.0,12.0,0
0.003,0.037000000000000005,0.003,0.7,38.0,31.0,0
0.003,0.033,0.015,0.4,34.0,12.0,0
0.009000000000000001,0.027000000000000003,0.07400000000000001,1.0,112.0,44.0,0
0.003,0.022000000000000002,0.017,0.3,18.0,8.0,0
0.004,0.008,0.035,0.3,22.0,9.0,0
0.003,0.02,0.027999999999999997,0.5,42.0,19.0,0
0.006,0.067,0.003,0.7,60.0,31.0,0
0.004,0.033,0.009000000000000001,0.6,19.0,9.0,0
0.005,0.006,0.039,0.3,12.0,8.0,0
0.005,0.064,0.004,0.6,79.0,51.0,0
0.004,0.012,0.033,0.4,15.0,7.0,0
0.004,0.016,0.042,0.4,22.0,9.0,0
0.005,0.068,0.003,0.9,70.0,33.0,0
0.004,0.017,0.051,0.3,21.0,4.0,0
0.004,0.018000000000000002,0.003,0.4,36.0,22.0,0
0.004,0.048,0.08800000000000001,0.6,96.0,57.0,0
0.006,0.017,0.027999999999999997,0.4,48.0,17.0,0
0.003,0.015,0.047,0.4,24.0,21.0,0
0.003,0.024,0.012,0.4,39.0,32.0,0
0.003,0.009000000000000001,0.002,0.6,20.0,4.0,0
0.009000000000000001,0.066,0.022000000000000002,0.8,144.0,132.0,0
0.005,0.027000000000000003,0.002,0.7,38.0,26.0,0
0.006999999999999999,0.044000000000000004,0.005,0.8,58.0,31.0,0
0.004,0.036000000000000004,0.003,0.7,33.0,36.0,0
0.003,0.035,0.027999999999999997,0.4,18.0,15.0,0
0.006,0.037000000000000005,0.044000000000000004,0.6,43.0,20.0,0
0.006,0.02,0.032,0.4,33.0,21.0,0
0.003,0.011000000000000001,0.057999999999999996,0.3,28.0,14.0,0
0.019,0.07400000000000001,0.002,0.8,54.0,26.0,0
